"","class","voting","sex","educnew","incomenew","racenew"
"1558",1,"dem<10%","Female",1,1,"Black"
"1559",2,"dem<10%","Female",2,3,"White"
"1560",1,"dem<10%","Male",1,1,"White"
"1561",2,"dem<10%","Female",1,1,"Black"
"1562",2,"dem<10%","Male",3,2,"White"
"1563",2,"dem<10%","Male",3,3,"Asian"
"1564",2,"dem<10%","Male",2,5,"White"
"1565",1,"dem<10%","Male",2,1,"White"
"1566",2,"dem<10%","Male",2,3,"White"
"1567",1,"dem<10%","Female",2,1,"White"
"1568",1,"dem<10%","Male",3,2,"White"
"1569",2,"dem<10%","Male",2,3,"Black"
"1570",1,"dem<10%","Female",1,1,"White"
"1571",2,"dem<10%","Male",1,4,"Black"
"1572",1,"dem<10%","Female",2,2,"Asian"
"1573",1,"dem<10%","Female",1,2,"White"
"1574",2,"dem<10%","Female",3,1,"White"
"1575",1,"dem<10%","Male",3,4,"White"
"1576",1,"dem<10%","Female",1,2,"White"
"1577",2,"dem<10%","Male",1,3,"Asian"
"1578",2,"dem<10%","Female",1,1,"Black"
"1579",1,"dem<10%","Male",1,1,"White"
"1580",1,"dem<10%","Male",1,1,"White"
"1581",2,"dem<10%","Female",2,3,"White"
"1582",2,"dem<10%","Male",3,2,"White"
"1583",3,"dem<10%","Male",1,2,"White"
"1584",1,"dem<10%","Male",2,2,"White"
"1585",1,"dem<10%","Male",2,4,"White"
"1586",1,"dem<10%","Male",1,1,"Black"
"1587",2,"dem<10%","Male",3,3,"White"
"1588",3,"dem<10%","Male",2,1,"White"
"1589",1,"dem<10%","Female",1,1,"White"
"1590",1,"dem<10%","Male",1,1,"White"
"1591",2,"dem<10%","Female",2,4,"White"
"1592",1,"dem<10%","Male",1,2,"White"
"1593",2,"dem<10%","Male",1,2,"White"
"1594",1,"dem<10%","Female",3,3,"Black"
"1595",1,"dem<10%","Female",1,1,"White"
"1596",2,"dem<10%","Female",2,3,"Black"
"1597",2,"dem<10%","Male",2,4,"White"
"1598",2,"dem<10%","Male",1,1,"White"
"1599",3,"dem<10%","Male",1,1,"White"
"1600",1,"dem<10%","Male",3,1,"White"
"1601",3,"dem<10%","Female",1,4,"Black"
"1602",1,"dem<10%","Male",1,2,"White"
"1603",1,"dem<10%","Female",3,2,"White"
"1604",1,"dem<10%","Female",2,1,"Black"
"1605",1,"dem<10%","Male",2,4,"White"
"1606",1,"dem<10%","Female",2,1,"White"
"1607",3,"dem<10%","Male",2,2,"White"
"1608",1,"dem<10%","Female",1,1,"White"
"1609",1,"dem<10%","Male",1,2,"White"
"1610",1,"dem<10%","Male",2,2,"White"
"1611",2,"dem<10%","Male",2,3,"White"
"1612",2,"dem<10%","Male",1,1,"White"
"1613",1,"dem<10%","Male",1,1,"White"
"1614",1,"dem<10%","Male",2,4,"White"
"1615",2,"dem<10%","Male",1,5,"White"
"1616",2,"dem<10%","Female",2,3,"Black"
"1617",1,"dem<10%","Male",2,1,"White"
"1618",2,"dem<10%","Female",2,1,"White"
"1619",2,"dem<10%","Female",2,3,"White"
"1620",2,"dem<10%","Female",3,2,"White"
"1621",1,"60%>dem>10%","Male",3,1,"Other race"
"1622",2,"60%>dem>10%","Male",3,2,"Asian"
"1623",1,"60%>dem>10%","Female",2,3,"White"
"1624",2,"60%>dem>10%","Male",3,5,"White"
"1625",1,"60%>dem>10%","Female",2,2,"White"
"1626",1,"60%>dem>10%","Female",1,2,"White"
"1627",1,"60%>dem>10%","Female",1,2,"White"
"1628",1,"60%>dem>10%","Female",3,1,"White"
"1629",2,"60%>dem>10%","Female",3,4,"White"
"1630",2,"60%>dem>10%","Male",3,3,"White"
"1631",1,"60%>dem>10%","Female",3,2,"White"
"1632",1,"60%>dem>10%","Male",1,2,"White"
"1633",2,"60%>dem>10%","Female",3,3,"White"
"1634",1,"60%>dem>10%","Female",1,1,"White"
"1635",1,"60%>dem>10%","Female",1,2,"White"
"1636",2,"60%>dem>10%","Female",2,2,"White"
"1637",2,"60%>dem>10%","Female",3,3,"White"
"1638",1,"60%>dem>10%","Female",1,2,"White"
"1639",3,"60%>dem>10%","Female",1,4,"White"
"1640",1,"60%>dem>10%","Female",1,3,"White"
"1641",1,"60%>dem>10%","Female",3,2,"White"
"1642",2,"60%>dem>10%","Female",1,5,"White"
"1643",1,"60%>dem>10%","Male",2,2,"Other race"
"1644",2,"60%>dem>10%","Female",3,5,"Other race"
"1645",2,"60%>dem>10%","Female",3,1,"White"
"1646",3,"60%>dem>10%","Male",3,3,"White"
"1647",2,"60%>dem>10%","Female",2,1,"White"
"1648",1,"60%>dem>10%","Male",1,4,"White"
"1649",1,"60%>dem>10%","Male",1,2,"White"
"1650",2,"60%>dem>10%","Male",3,3,"White"
"1651",2,"60%>dem>10%","Female",3,2,"White"
"1652",3,"60%>dem>10%","Female",3,2,"Asian"
"1653",1,"60%>dem>10%","Male",3,4,"White"
"1654",2,"60%>dem>10%","Male",1,2,"White"
"1655",1,"60%>dem>10%","Female",1,3,"White"
"1656",1,"60%>dem>10%","Female",2,3,"White"
"1657",1,"60%>dem>10%","Female",1,1,"White"
"1658",1,"60%>dem>10%","Female",3,2,"White"
"1659",2,"60%>dem>10%","Female",2,5,"White"
"1660",3,"60%>dem>10%","Female",3,3,"White"
"1661",2,"60%>dem>10%","Male",2,3,"White"
"1662",2,"60%>dem>10%","Female",2,5,"White"
"1663",1,"60%>dem>10%","Female",1,1,"White"
"1664",1,"60%>dem>10%","Female",1,1,"White"
"1665",1,"60%>dem>10%","Female",1,1,"White"
"1666",2,"60%>dem>10%","Male",1,4,"White"
"1667",1,"60%>dem>10%","Male",3,4,"Asian"
"1668",2,"60%>dem>10%","Male",1,4,"White"
"1669",1,"60%>dem>10%","Male",3,4,"White"
"1670",1,"60%>dem>10%","Female",1,2,"White"
"1671",2,"60%>dem>10%","Male",2,2,"White"
"1672",3,"60%>dem>10%","Male",2,2,"White"
"1673",2,"60%>dem>10%","Male",3,3,"White"
"1674",2,"60%>dem>10%","Female",3,3,"White"
"1675",1,"60%>dem>10%","Female",2,1,"Black"
"1676",2,"60%>dem>10%","Female",3,4,"Asian"
"1677",1,"60%>dem>10%","Female",2,4,"White"
"1678",1,"60%>dem>10%","Female",2,1,"White"
"1679",1,"60%>dem>10%","Male",2,2,"White"
"1680",2,"60%>dem>10%","Female",2,3,"Asian"
"1681",1,"60%>dem>10%","Male",3,1,"Asian"
"1682",1,"60%>dem>10%","Male",1,4,"White"
"1683",2,"60%>dem>10%","Male",2,4,"White"
"1684",1,"60%>dem>10%","Female",1,2,"White"
"1685",1,"60%>dem>10%","Male",1,1,"White"
"1686",2,"60%>dem>10%","Female",3,5,"White"
"1687",1,"60%>dem>10%","Male",1,2,"White"
"1688",2,"60%>dem>10%","Male",3,4,"White"
"1689",1,"60%>dem>10%","Male",1,4,"Asian"
"1690",2,"60%>dem>10%","Male",3,1,"White"
"1691",2,"60%>dem>10%","Female",3,4,"White"
"1692",2,"60%>dem>10%","Male",2,3,"White"
"1693",1,"60%>dem>10%","Female",1,1,"White"
"1694",1,"60%>dem>10%","Female",3,2,"White"
"1695",2,"60%>dem>10%","Female",3,3,"White"
"1696",2,"60%>dem>10%","Male",3,3,"White"
"1697",1,"60%>dem>10%","Female",3,2,"White"
"1698",2,"60%>dem>10%","Female",1,4,"White"
"1699",1,"60%>dem>10%","Female",3,3,"Black"
"1700",1,"60%>dem>10%","Female",1,1,"White"
"1701",2,"60%>dem>10%","Female",2,1,"Asian"
"1702",1,"60%>dem>10%","Male",2,4,"White"
"1703",2,"60%>dem>10%","Female",2,3,"White"
"1704",1,"60%>dem>10%","Male",2,3,"White"
"1705",1,"60%>dem>10%","Female",2,2,"Other race"
"1706",1,"60%>dem>10%","Male",2,2,"White"
"1707",2,"60%>dem>10%","Male",2,5,"White"
"1708",2,"60%>dem>10%","Female",1,1,"White"
"1709",1,"60%>dem>10%","Male",1,2,"White"
"1710",1,"60%>dem>10%","Female",1,2,"White"
"1711",2,"60%>dem>10%","Female",1,1,"White"
"1712",1,"60%>dem>10%","Male",2,2,"White"
"1713",2,"60%>dem>10%","Male",1,2,"White"
"1714",2,"60%>dem>10%","Male",2,2,"White"
"1715",1,"60%>dem>10%","Male",1,2,"White"
"1716",1,"60%>dem>10%","Female",2,2,"White"
"1717",2,"60%>dem>10%","Male",2,5,"White"
"1718",2,"60%>dem>10%","Male",3,3,"White"
"1719",2,"60%>dem>10%","Female",1,2,"White"
"1720",2,"60%>dem>10%","Female",2,1,"White"
"1721",2,"60%>dem>10%","Male",2,3,"White"
"1722",1,"60%>dem>10%","Female",2,3,"White"
"1723",2,"60%>dem>10%","Female",1,2,"White"
"1724",2,"60%>dem>10%","Male",1,2,"White"
"1725",2,"60%>dem>10%","Female",3,4,"Asian"
"1726",2,"60%>dem>10%","Female",3,4,"Other race"
"1727",1,"60%>dem>10%","Female",2,1,"White"
"1728",3,"60%>dem>10%","Male",2,4,"White"
"1729",1,"60%>dem>10%","Female",2,2,"White"
"1730",2,"60%>dem>10%","Male",2,2,"White"
"1731",2,"60%>dem>10%","Female",3,5,"White"
"1732",2,"60%>dem>10%","Male",3,5,"White"
"1733",1,"60%>dem>10%","Female",2,2,"White"
"1734",1,"60%>dem>10%","Female",2,1,"White"
"1735",1,"60%>dem>10%","Female",2,2,"Asian"
"1736",2,"60%>dem>10%","Male",2,4,"White"
"1737",1,"60%>dem>10%","Male",1,2,"White"
"1738",1,"60%>dem>10%","Female",2,1,"Other race"
"1739",2,"60%>dem>10%","Female",3,4,"White"
"1740",3,"60%>dem>10%","Female",2,4,"White"
"1741",3,"60%>dem>10%","Male",3,4,"White"
"1742",2,"60%>dem>10%","Male",1,1,"White"
"1743",2,"60%>dem>10%","Male",2,2,"White"
"1744",1,"60%>dem>10%","Male",2,2,"White"
"1745",2,"60%>dem>10%","Female",3,3,"Asian"
"1746",1,"60%>dem>10%","Female",3,4,"White"
"1747",1,"60%>dem>10%","Female",1,4,"Asian"
"1748",1,"60%>dem>10%","Female",1,1,"White"
"1749",3,"60%>dem>10%","Male",2,3,"White"
"1750",1,"60%>dem>10%","Male",1,1,"White"
"1751",2,"60%>dem>10%","Male",3,5,"White"
"1752",1,"60%>dem>10%","Female",1,3,"White"
"1753",1,"60%>dem>10%","Female",1,1,"White"
"1754",2,"60%>dem>10%","Male",3,4,"White"
"1755",1,"60%>dem>10%","Female",2,1,"White"
"1756",3,"60%>dem>10%","Male",3,3,"White"
"1757",1,"60%>dem>10%","Female",1,1,"White"
"1758",1,"60%>dem>10%","Female",1,4,"Asian"
"1759",1,"60%>dem>10%","Female",1,1,"White"
"1760",2,"60%>dem>10%","Female",3,4,"White"
"1761",3,"dem>60%","Male",2,5,"White"
"1762",3,"dem>60%","Female",1,2,"White"
"1763",1,"dem>60%","Female",3,2,"White"
"1764",3,"dem>60%","Male",3,4,"Asian"
"1765",1,"dem>60%","Female",1,2,"Asian"
"1766",1,"dem>60%","Male",3,4,"White"
"1767",2,"dem>60%","Male",2,5,"White"
"1768",2,"dem>60%","Male",3,5,"Asian"
"1769",1,"dem>60%","Male",2,1,"White"
"1770",1,"dem>60%","Male",3,1,"White"
"1771",3,"dem>60%","Female",3,2,"White"
"1772",3,"dem>60%","Female",3,2,"White"
"1773",2,"dem>60%","Male",1,3,"White"
"1774",3,"dem>60%","Male",3,2,"White"
"1775",2,"dem>60%","Male",3,4,"White"
"1776",3,"dem>60%","Female",3,5,"Asian"
"1777",1,"dem>60%","Female",1,1,"Asian"
"1778",3,"dem>60%","Male",3,2,"White"
"1779",2,"dem>60%","Female",3,3,"White"
"1780",2,"dem>60%","Male",2,2,"Asian"
"1781",3,"dem>60%","Female",3,3,"Asian"
"1782",3,"dem>60%","Male",2,1,"White"
"1783",2,"dem>60%","Female",3,3,"Other race"
"1784",3,"dem>60%","Male",2,1,"White"
"1785",1,"dem>60%","Male",1,1,"Asian"
"1786",2,"dem>60%","Male",3,5,"Asian"
"1787",2,"dem>60%","Male",1,3,"White"
"1788",1,"dem>60%","Female",2,3,"White"
"1789",3,"dem>60%","Female",1,2,"White"
"1790",3,"dem>60%","Female",1,2,"Asian"
"1791",3,"dem>60%","Female",3,5,"Black"
"1792",1,"dem>60%","Male",3,2,"White"
"1793",1,"dem>60%","Male",3,2,"Asian"
"1794",3,"dem>60%","Female",3,1,"White"
"1795",1,"dem>60%","Male",3,2,"Asian"
"1796",3,"dem>60%","Female",3,2,"Other race"
"1797",1,"dem>60%","Female",2,1,"White"
"1798",1,"dem>60%","Female",3,5,"Asian"
"1799",1,"dem>60%","Male",1,1,"Asian"
"1800",2,"dem>60%","Male",3,3,"White"
"1801",2,"dem>60%","Female",3,3,"White"
"1802",1,"dem>60%","Male",2,4,"White"
"1803",1,"dem>60%","Female",3,5,"Asian"
"1804",2,"dem>60%","Male",3,4,"Asian"
"1805",2,"dem>60%","Female",3,2,"White"
"1806",1,"dem>60%","Female",1,2,"Asian"
"1807",1,"dem>60%","Female",1,1,"Asian"
"1808",1,"dem>60%","Male",1,1,"Asian"
"1809",2,"dem>60%","Male",2,2,"White"
"1810",2,"60%>dem>10%","Male",1,1,"White"
"1811",1,"60%>dem>10%","Male",3,1,"White"
"1812",1,"60%>dem>10%","Male",2,3,"White"
"1813",1,"60%>dem>10%","Male",1,1,"Other race"
"1814",1,"60%>dem>10%","Female",1,2,"White"
"1815",3,"60%>dem>10%","Male",1,3,"White"
"1816",1,"60%>dem>10%","Male",2,3,"White"
"1817",2,"60%>dem>10%","Male",1,1,"White"
"1818",2,"60%>dem>10%","Female",2,1,"White"
"1819",1,"60%>dem>10%","Female",1,1,"White"
"1820",1,"60%>dem>10%","Male",1,1,"White"
"1821",1,"60%>dem>10%","Female",2,3,"White"
"1822",1,"60%>dem>10%","Female",1,2,"White"
"1823",1,"60%>dem>10%","Male",1,3,"White"
"1824",1,"60%>dem>10%","Male",1,1,"White"
"1825",2,"60%>dem>10%","Male",1,3,"White"
"1826",2,"60%>dem>10%","Female",1,2,"White"
"1827",1,"60%>dem>10%","Female",2,1,"White"
"1828",2,"60%>dem>10%","Female",2,2,"White"
"1829",2,"60%>dem>10%","Male",2,3,"White"
"1830",1,"60%>dem>10%","Female",2,2,"White"
"1831",2,"60%>dem>10%","Female",3,3,"White"
"1832",2,"60%>dem>10%","Female",2,1,"Black"
"1833",1,"60%>dem>10%","Female",1,3,"White"
"1834",2,"60%>dem>10%","Male",3,3,"White"
"1835",2,"60%>dem>10%","Male",1,1,"White"
"1836",2,"60%>dem>10%","Male",2,2,"White"
"1837",1,"60%>dem>10%","Male",2,3,"White"
"1838",1,"60%>dem>10%","Male",1,3,"White"
"1839",2,"60%>dem>10%","Female",2,3,"White"
"1840",2,"60%>dem>10%","Male",3,4,"White"
"1841",1,"60%>dem>10%","Female",1,1,"White"
"1842",2,"60%>dem>10%","Female",3,3,"White"
"1843",1,"60%>dem>10%","Male",1,2,"White"
"1844",2,"dem<10%","Male",1,3,"White"
"1845",1,"dem<10%","Female",2,1,"White"
"1846",2,"dem<10%","Female",2,3,"White"
"1847",1,"dem<10%","Male",2,2,"Other race"
"1848",2,"dem<10%","Female",3,5,"White"
"1849",2,"dem<10%","Female",2,5,"White"
"1850",1,"dem<10%","Female",3,3,"White"
"1851",1,"dem<10%","Male",2,3,"White"
"1852",2,"dem<10%","Male",2,1,"White"
"1853",1,"60%>dem>10%","Male",1,3,"White"
"1854",1,"60%>dem>10%","Male",1,2,"Asian"
"1855",1,"60%>dem>10%","Male",2,4,"White"
"1856",1,"60%>dem>10%","Male",2,4,"White"
"1857",1,"60%>dem>10%","Female",2,3,"Asian"
"1858",1,"60%>dem>10%","Female",3,4,"Asian"
"1859",3,"60%>dem>10%","Female",3,1,"Asian"
"1860",2,"60%>dem>10%","Female",3,2,"Asian"
"1861",3,"60%>dem>10%","Female",3,2,"White"
"1862",1,"60%>dem>10%","Male",2,2,"White"
"1863",1,"60%>dem>10%","Male",3,3,"White"
"1864",3,"60%>dem>10%","Female",2,2,"White"
"1865",2,"60%>dem>10%","Male",1,3,"White"
"1866",3,"60%>dem>10%","Female",3,5,"White"
"1867",1,"60%>dem>10%","Male",1,2,"Asian"
"1868",2,"60%>dem>10%","Female",2,1,"White"
"1869",1,"60%>dem>10%","Female",3,5,"White"
"1870",3,"60%>dem>10%","Female",3,5,"White"
"1871",1,"60%>dem>10%","Male",1,4,"White"
"1872",2,"60%>dem>10%","Male",3,5,"White"
"1873",1,"60%>dem>10%","Female",3,2,"Asian"
"1874",1,"60%>dem>10%","Male",2,1,"Asian"
"1875",2,"60%>dem>10%","Male",3,5,"White"
"1876",1,"60%>dem>10%","Female",1,1,"White"
"1877",1,"60%>dem>10%","Female",1,1,"White"
"1878",1,"60%>dem>10%","Male",1,4,"White"
"1879",2,"60%>dem>10%","Female",2,5,"Other race"
"1880",1,"60%>dem>10%","Male",3,2,"White"
"1881",2,"60%>dem>10%","Female",2,3,"White"
"1882",2,"60%>dem>10%","Female",2,4,"Other race"
"1883",2,"60%>dem>10%","Male",1,1,"White"
"1884",2,"60%>dem>10%","Male",2,2,"White"
"1885",2,"60%>dem>10%","Male",2,3,"White"
"1886",1,"60%>dem>10%","Female",1,1,"White"
"1887",3,"60%>dem>10%","Male",3,4,"White"
"1888",2,"60%>dem>10%","Male",1,1,"Other race"
"1889",3,"60%>dem>10%","Male",1,2,"White"
"1890",1,"60%>dem>10%","Female",1,1,"White"
"1891",2,"60%>dem>10%","Female",3,4,"White"
"1892",1,"60%>dem>10%","Female",1,1,"White"
"1893",2,"60%>dem>10%","Male",2,5,"White"
"1894",3,"60%>dem>10%","Female",3,3,"White"
"1895",2,"60%>dem>10%","Female",2,3,"White"
"1896",2,"60%>dem>10%","Female",2,2,"White"
"1897",1,"60%>dem>10%","Female",1,1,"White"
"1898",1,"60%>dem>10%","Female",1,2,"White"
"1899",1,"60%>dem>10%","Female",1,2,"White"
"1900",2,"60%>dem>10%","Male",3,4,"White"
"1901",3,"60%>dem>10%","Male",3,3,"White"
"1902",1,"60%>dem>10%","Female",1,2,"White"
"1903",2,"60%>dem>10%","Male",2,2,"Asian"
"1904",1,"60%>dem>10%","Female",3,4,"White"
"1905",2,"60%>dem>10%","Female",3,2,"White"
"1906",1,"60%>dem>10%","Male",2,3,"White"
"1907",2,"60%>dem>10%","Female",3,4,"White"
"1908",2,"60%>dem>10%","Female",2,1,"White"
"1909",3,"60%>dem>10%","Female",3,5,"White"
"1910",2,"60%>dem>10%","Male",2,1,"White"
"1911",1,"60%>dem>10%","Male",3,1,"White"
"1912",2,"60%>dem>10%","Female",1,3,"White"
"1913",1,"60%>dem>10%","Male",3,5,"White"
"1914",2,"60%>dem>10%","Female",2,1,"White"
"1915",2,"60%>dem>10%","Male",1,4,"White"
"1916",1,"60%>dem>10%","Male",1,1,"White"
"1917",2,"60%>dem>10%","Female",3,2,"White"
"1918",2,"60%>dem>10%","Female",1,1,"White"
"1919",1,"60%>dem>10%","Male",2,1,"White"
"1920",1,"60%>dem>10%","Male",1,2,"White"
"1921",2,"60%>dem>10%","Female",3,1,"White"
"1922",1,"60%>dem>10%","Male",1,1,"White"
"1923",2,"60%>dem>10%","Female",3,5,"White"
"1924",2,"60%>dem>10%","Female",3,5,"White"
"1925",1,"60%>dem>10%","Male",1,1,"White"
"1926",1,"60%>dem>10%","Male",1,1,"Black"
"1927",1,"60%>dem>10%","Male",1,3,"White"
"1928",1,"60%>dem>10%","Male",1,2,"White"
"1929",1,"60%>dem>10%","Female",3,1,"Black"
"1930",1,"60%>dem>10%","Female",3,5,"Asian"
"1931",1,"60%>dem>10%","Male",1,3,"White"
"1932",1,"60%>dem>10%","Female",3,3,"Black"
"1933",2,"60%>dem>10%","Female",2,3,"White"
"1934",1,"60%>dem>10%","Female",2,2,"White"
"1935",1,"60%>dem>10%","Male",1,2,"White"
"1936",2,"60%>dem>10%","Female",2,5,"Asian"
"1937",1,"60%>dem>10%","Male",2,1,"White"
"1938",2,"60%>dem>10%","Female",2,1,"Black"
"1939",2,"60%>dem>10%","Female",3,3,"Black"
"1940",1,"60%>dem>10%","Female",2,2,"White"
"1941",1,"60%>dem>10%","Male",2,3,"White"
"1942",2,"60%>dem>10%","Female",1,2,"White"
"1943",1,"60%>dem>10%","Female",1,3,"White"
"1944",2,"60%>dem>10%","Female",3,3,"White"
"1945",1,"60%>dem>10%","Male",1,1,"White"
"1946",1,"60%>dem>10%","Male",1,2,"White"
"1947",2,"60%>dem>10%","Female",2,3,"White"
"1948",2,"60%>dem>10%","Male",1,3,"White"
"1949",1,"60%>dem>10%","Female",1,3,"White"
"1950",1,"60%>dem>10%","Male",1,2,"White"
"1951",2,"60%>dem>10%","Female",2,1,"White"
"1952",2,"60%>dem>10%","Male",3,3,"White"
"1953",1,"60%>dem>10%","Female",1,3,"Black"
"1954",1,"60%>dem>10%","Female",2,2,"White"
"1955",1,"60%>dem>10%","Female",1,3,"Black"
"1956",2,"60%>dem>10%","Male",3,4,"White"
"1957",2,"60%>dem>10%","Male",3,1,"White"
"1958",2,"60%>dem>10%","Male",1,5,"White"
"1959",1,"60%>dem>10%","Male",3,5,"White"
"1960",3,"60%>dem>10%","Male",2,4,"White"
"1961",2,"60%>dem>10%","Female",3,5,"White"
"1962",1,"60%>dem>10%","Male",3,4,"White"
"1963",3,"60%>dem>10%","Female",3,5,"White"
"1964",1,"60%>dem>10%","Female",2,1,"White"
"1965",2,"dem<10%","Female",1,3,"White"
"1966",3,"dem<10%","Male",3,1,"White"
"1967",1,"dem<10%","Female",1,3,"White"
"1968",3,"dem<10%","Female",2,2,"White"
"1969",1,"dem<10%","Male",1,3,"White"
"1970",1,"dem<10%","Male",3,5,"White"
"1971",2,"dem<10%","Female",2,3,"White"
"1972",2,"dem<10%","Female",1,2,"White"
"1973",1,"dem<10%","Female",2,3,"White"
"1974",2,"dem<10%","Female",1,3,"White"
"1975",1,"dem<10%","Male",2,3,"White"
"1976",3,"dem<10%","Male",2,3,"White"
"1977",2,"dem<10%","Female",2,3,"White"
"1978",1,"dem<10%","Female",1,2,"White"
"1979",1,"dem<10%","Male",2,3,"White"
"1980",1,"dem<10%","Male",2,5,"White"
"1981",1,"dem<10%","Female",2,3,"White"
"1982",2,"dem<10%","Female",1,3,"White"
"1983",2,"dem<10%","Female",2,2,"White"
"1984",1,"dem<10%","Male",3,3,"White"
"1985",2,"dem<10%","Male",3,2,"White"
"1986",2,"dem<10%","Female",1,2,"White"
"1987",3,"dem<10%","Female",2,1,"White"
"1988",1,"dem<10%","Male",1,3,"White"
"1989",2,"dem<10%","Male",3,2,"White"
"1990",3,"60%>rep>10%","Female",3,3,"White"
"1991",1,"60%>rep>10%","Female",1,1,"White"
"1992",1,"60%>rep>10%","Male",2,2,"White"
"1993",1,"60%>rep>10%","Male",1,1,"White"
"1994",3,"60%>rep>10%","Male",2,1,"White"
"1995",2,"60%>rep>10%","Male",2,2,"White"
"1996",2,"60%>dem>10%","Male",2,4,"White"
"1997",2,"60%>dem>10%","Male",1,4,"White"
"1998",1,"60%>dem>10%","Female",1,1,"White"
"1999",2,"60%>dem>10%","Female",1,4,"White"
"2000",3,"60%>dem>10%","Female",3,5,"White"
"2001",1,"60%>dem>10%","Female",1,1,"White"
"2002",2,"60%>dem>10%","Female",3,5,"White"
"2003",1,"60%>dem>10%","Male",1,3,"White"
"2004",2,"60%>dem>10%","Male",2,4,"White"
"2005",2,"60%>dem>10%","Male",2,4,"White"
"2006",2,"60%>dem>10%","Female",3,5,"White"
"2007",2,"60%>dem>10%","Female",3,3,"White"
"2008",2,"60%>dem>10%","Male",1,2,"White"
"2009",2,"60%>dem>10%","Female",1,1,"White"
"2010",1,"60%>dem>10%","Male",1,3,"White"
"2011",1,"60%>dem>10%","Female",2,3,"White"
"2012",1,"60%>dem>10%","Female",2,1,"White"
"2013",3,"60%>dem>10%","Male",3,4,"White"
"2014",3,"60%>dem>10%","Male",2,5,"White"
"2015",3,"60%>dem>10%","Male",3,4,"White"
"2016",3,"60%>dem>10%","Female",3,5,"White"
"2017",1,"60%>dem>10%","Male",1,4,"White"
"2018",1,"60%>dem>10%","Female",1,3,"White"
"2019",2,"60%>dem>10%","Female",1,2,"White"
"2020",1,"60%>dem>10%","Male",1,2,"White"
"2021",1,"60%>dem>10%","Female",3,3,"Other race"
"2022",1,"60%>dem>10%","Female",2,2,"White"
"2023",2,"60%>dem>10%","Female",2,2,"Asian"
"2024",2,"60%>dem>10%","Female",2,4,"White"
"2025",2,"60%>dem>10%","Female",1,2,"White"
"2026",2,"60%>dem>10%","Female",3,4,"White"
"2027",2,"60%>dem>10%","Male",1,2,"White"
"2028",2,"60%>dem>10%","Female",1,1,"White"
"2029",1,"60%>dem>10%","Male",1,4,"White"
"2030",1,"60%>dem>10%","Female",2,1,"White"
"2031",1,"60%>dem>10%","Male",1,1,"White"
"2032",3,"60%>dem>10%","Female",3,5,"White"
"2033",2,"60%>dem>10%","Female",1,1,"Black"
"2034",2,"60%>dem>10%","Female",1,4,"White"
"2035",1,"60%>dem>10%","Female",1,2,"White"
"2036",1,"60%>dem>10%","Female",1,3,"White"
"2037",2,"60%>dem>10%","Female",3,3,"White"
"2038",2,"60%>dem>10%","Male",1,2,"White"
"2039",1,"60%>dem>10%","Female",1,1,"White"
"2040",1,"60%>dem>10%","Male",1,3,"White"
"2041",2,"60%>dem>10%","Male",2,2,"White"
"2042",2,"60%>dem>10%","Male",3,4,"White"
"2043",1,"60%>dem>10%","Female",2,1,"White"
"2044",2,"60%>dem>10%","Female",2,2,"White"
"2045",2,"60%>dem>10%","Female",1,1,"White"
"2046",3,"60%>dem>10%","Female",2,5,"White"
"2047",2,"60%>dem>10%","Female",2,1,"Black"
"2048",3,"60%>dem>10%","Male",3,5,"White"
"2049",2,"60%>dem>10%","Male",3,5,"White"
"2050",1,"60%>dem>10%","Female",1,2,"Black"
"2051",1,"60%>dem>10%","Female",2,1,"White"
"2052",2,"60%>dem>10%","Male",3,3,"White"
"2053",3,"60%>dem>10%","Female",3,1,"Asian"
"2054",3,"60%>dem>10%","Female",1,1,"White"
"2055",3,"60%>dem>10%","Male",3,1,"Black"
"2056",2,"60%>dem>10%","Female",3,4,"White"
"2057",1,"60%>dem>10%","Female",3,3,"White"
"2058",2,"60%>dem>10%","Male",3,4,"White"
"2059",2,"60%>dem>10%","Female",3,5,"White"
"2060",2,"60%>dem>10%","Female",2,1,"White"
"2061",2,"60%>dem>10%","Female",3,2,"White"
"2062",2,"60%>dem>10%","Female",3,4,"White"
"2063",3,"60%>dem>10%","Female",2,2,"White"
"2064",3,"60%>dem>10%","Female",2,4,"White"
"2065",1,"60%>dem>10%","Male",3,4,"White"
"2066",2,"60%>dem>10%","Male",3,3,"White"
"2067",2,"60%>dem>10%","Female",3,2,"White"
"2068",1,"60%>dem>10%","Male",3,2,"White"
"2069",2,"60%>dem>10%","Male",2,3,"White"
"2070",2,"60%>dem>10%","Female",3,5,"White"
"2071",2,"60%>dem>10%","Female",3,3,"White"
"2072",2,"60%>dem>10%","Female",1,1,"White"
"2073",2,"60%>dem>10%","Female",3,5,"White"
"2074",3,"60%>dem>10%","Male",3,5,"White"
"2075",2,"60%>dem>10%","Male",2,2,"White"
"2076",2,"60%>dem>10%","Female",3,5,"White"
"2077",3,"60%>dem>10%","Female",3,3,"White"
"2078",1,"60%>dem>10%","Female",3,4,"White"
"2079",1,"60%>dem>10%","Male",2,2,"White"
"2080",1,"60%>dem>10%","Female",2,2,"White"
"2081",2,"60%>dem>10%","Male",3,2,"White"
"2082",3,"60%>dem>10%","Female",3,3,"White"
"2083",2,"60%>dem>10%","Male",3,4,"White"
"2084",2,"60%>dem>10%","Male",3,1,"White"
"2085",3,"60%>dem>10%","Male",3,2,"White"
