5,1003,3,2,0,2,3,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,3,3,1,999,999,999,999,999,1,999,999,999,999
5,1003,3,1,0,3,2,1,2,2,2,2,2,999,1,2,2,2
5,1003,3,1,0,2,5,1,1,2,2,2,2,999,1,1,999,999
5,1003,3,2,0,3,4,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,3,3,1,2,2,2,1,2,999,2,1,999,999
5,1003,3,1,0,2,5,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,1,0,1,1,1,999,999,999,999,999,1,999,999,2,2
5,1003,3,2,0,3,5,1,999,999,999,999,999,1,999,999,1,1
5,1003,3,1,0,2,2,1,999,999,999,999,999,2,999,999,1,2
5,1003,3,1,0,3,5,1,1,2,2,2,2,999,1,1,999,999
5,1003,3,1,0,3,3,1,999,999,999,999,999,1,999,999,999,999
5,1003,3,2,0,2,5,2,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,1,1,1,2,2,2,2,2,999,2,1,2,2
5,1003,3,2,0,2,1,4,999,999,999,999,999,2,999,999,999,999
5,1003,3,1,0,2,1,2,999,999,999,999,999,1,999,999,999,999
5,1003,3,1,0,1,2,1,2,2,2,2,2,999,2,2,999,999
5,1003,3,1,0,3,4,1,999,999,999,999,999,2,999,999,2,2
5,1003,3,1,0,3,3,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,3,2,1,2,2,2,2,2,999,2,1,2,2
5,1003,3,1,0,3,5,2,999,999,999,999,999,2,999,999,1,2
5,1003,3,2,0,2,2,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,1,0,1,5,2,999,999,999,999,999,2,999,999,2,2
5,1003,3,1,0,3,3,1,2,2,2,2,2,999,2,2,1,1
5,1003,3,1,0,1,3,1,2,2,2,2,2,999,2,2,999,999
5,1003,3,1,0,3,3,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,1,2,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,1,0,2,2,1,999,999,999,999,999,2,999,999,2,2
5,1003,3,1,0,1,1,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,2,2,1,2,2,2,2,2,999,2,1,999,999
5,1003,3,2,0,1,1,1,999,999,999,999,999,2,999,999,2,2
5,1003,3,2,0,1,1,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,3,5,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,2,0,2,4,1,1,2,2,2,2,999,2,1,999,999
5,1003,3,2,0,1,1,1,2,2,2,2,2,999,2,1,999,999
5,1003,3,2,0,2,1,1,999,999,999,999,999,999,999,999,999,999
5,1003,3,1,0,2,4,1,999,999,999,999,999,999,999,999,999,999
5,1015,3,1,2,1,3,1,2,2,2,2,2,999,2,2,2,1
5,1015,3,2,2,2,1,1,2,2,2,2,2,999,2,1,1,2
5,1015,3,1,2,3,2,1,999,999,999,999,999,2,999,999,1,2
5,1015,3,2,2,1,4,1,999,999,999,999,999,2,999,999,2,2
5,1015,3,1,2,1,4,1,999,999,999,999,999,2,999,999,2,1
5,1015,3,2,2,2,1,1,2,2,2,2,2,999,2,1,1,1
5,1015,3,1,2,3,3,1,1,2,2,2,2,999,2,1,999,999
5,1015,3,2,2,2,2,1,2,2,2,2,2,999,2,1,2,2
5,1015,3,1,2,1,2,2,999,999,999,999,999,999,999,999,999,999
5,1015,3,2,2,3,1,1,2,2,2,1,2,999,2,1,999,999
5,1015,3,2,2,2,4,1,999,999,999,999,999,999,999,999,999,999
5,1015,3,2,2,2,3,1,999,999,999,999,999,999,999,999,999,999
5,1015,3,2,2,3,2,1,999,999,999,999,999,999,999,999,999,999
5,1015,3,1,2,1,2,2,999,999,999,999,999,999,999,999,999,999
5,1015,3,2,2,2,3,1,999,999,999,999,999,999,999,999,999,999
5,1015,3,2,2,1,1,2,2,2,2,2,2,999,2,1,999,999
5,1015,3,2,2,2,1,1,2,2,2,2,2,999,1,1,999,999
5,1015,3,1,2,1,2,1,999,999,999,999,999,999,999,999,999,999
5,1015,3,2,2,3,2,2,999,999,999,999,999,1,999,999,1,2
5,1015,3,1,2,1,2,2,2,2,2,2,2,999,2,2,999,999
5,1015,3,2,2,1,2,2,1,2,2,2,2,999,2,1,999,999
5,1015,3,1,2,2,2,1,2,2,2,2,2,999,2,1,999,999
3,1073,3,2,5,2,1,2,2,2,2,2,2,999,999,999,999,999
3,1073,3,1,5,2,1,2,999,999,999,999,999,2,999,999,999,999
3,1073,3,2,5,2,3,2,999,999,999,999,999,2,999,999,999,999
3,1073,3,1,5,1,1,2,999,999,999,999,999,2,999,999,999,999
3,1073,3,2,5,2,2,1,2,2,2,2,2,999,2,1,999,999
3,1073,3,1,5,3,3,1,999,999,999,999,999,2,999,999,1,1
3,1073,3,1,5,1,2,1,2,2,2,2,2,999,2,2,999,999
3,1073,3,2,5,1,1,2,2,2,2,2,2,999,2,2,999,999
3,1073,3,1,5,2,1,2,999,999,999,999,999,999,999,999,999,999
3,1073,3,1,5,1,2,1,2,2,2,2,2,999,2,2,999,999
3,1073,3,2,5,3,4,1,999,999,999,999,999,999,999,999,999,999
3,1073,3,2,5,3,3,2,2,2,2,2,2,999,2,1,1,2
3,1073,3,2,5,2,1,2,999,999,999,999,999,2,999,999,999,999
3,1073,3,1,5,3,4,1,999,999,999,999,999,1,999,999,999,999
3,1073,3,1,5,3,3,2,999,999,999,999,999,999,999,999,999,999
3,1073,3,1,5,2,3,2,999,999,999,999,999,999,999,999,999,999
